time,price,size
2024-12-30 14:43:11+00:00,3.04,0.0
2024-12-30 14:43:11+00:00,3.035,0.0
2024-12-30 14:43:11+00:00,3.03,0.0
2024-12-30 14:43:11+00:00,3.025,0.0
2024-12-30 14:43:11+00:00,3.02,0.0
2024-12-30 14:43:11+00:00,3.025,0.0
2024-12-30 14:43:11+00:00,3.04,0.0
2024-12-30 14:43:11+00:00,3.035,0.0
2024-12-30 14:43:11+00:00,3.03,0.0
2024-12-30 14:43:11+00:00,3.035,0.0
2024-12-30 14:43:11+00:00,3.03,0.0
2024-12-30 14:43:11+00:00,3.02,0.0
2024-12-30 14:43:11+00:00,3.015,0.0
2024-12-30 14:43:11+00:00,3.01,0.0
2024-12-30 14:43:11+00:00,3.005,0.0
2024-12-30 14:43:11+00:00,3.0,0.0
2024-12-30 14:43:11+00:00,2.995,0.0
2024-12-30 14:43:11+00:00,2.99,0.0
2024-12-30 14:43:11+00:00,2.98,0.0
2024-12-30 14:43:11+00:00,2.97,0.0
2024-12-30 14:43:11+00:00,2.96,0.0
2024-12-30 14:43:11+00:00,2.955,0.0
2024-12-30 14:43:11+00:00,2.95,0.0
2024-12-30 14:43:11+00:00,2.945,0.0
2024-12-30 14:43:11+00:00,2.94,0.0
2024-12-30 14:43:11+00:00,2.935,0.0
2024-12-30 14:43:11+00:00,2.94,0.0
2024-12-30 14:43:11+00:00,2.935,0.0
2024-12-30 14:43:11+00:00,2.93,0.0
2024-12-30 14:43:11+00:00,2.925,0.0
2024-12-30 14:43:11+00:00,2.92,0.0
2024-12-30 14:43:11+00:00,2.915,0.0
2024-12-30 14:43:11+00:00,2.905,0.0
2024-12-30 14:43:11+00:00,2.895,0.0
2024-12-30 14:43:11+00:00,2.885,0.0
2024-12-30 14:43:11+00:00,2.88,0.0
2024-12-30 14:43:11+00:00,2.875,0.0
2024-12-30 14:43:11+00:00,2.87,0.0
2024-12-30 14:43:11+00:00,2.865,0.0
2024-12-30 14:43:11+00:00,2.86,0.0
2024-12-30 14:43:11+00:00,2.855,0.0
2024-12-30 14:43:11+00:00,2.85,0.0
2024-12-30 14:43:11+00:00,2.845,0.0
2024-12-30 14:43:11+00:00,2.84,0.0
2024-12-30 14:43:11+00:00,2.835,0.0
2024-12-30 14:43:11+00:00,2.825,0.0
2024-12-30 14:43:11+00:00,2.82,0.0
2024-12-30 14:43:11+00:00,2.815,0.0
2024-12-30 14:43:11+00:00,2.805,0.0
2024-12-30 14:43:11+00:00,2.795,0.0
2024-12-30 14:43:11+00:00,2.79,0.0
