2024-12-11 13:08:54.661 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.661 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.662 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.672 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.675 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.676 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.676 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
2024-12-11 13:08:54.687 | INFO     | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:connect:550 - trying to connect to TWS/IBG
2024-12-11 13:08:54.689 | WARNING  | 1 | tbot_tradingboat.pg_decoder.tbot_decoder:on_api_error:77 - API connection failed: OSError("Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)")
2024-12-11 13:08:54.690 | WARNING  | 1 | __main__:handle_event:121 - got socket exception: Multiple exceptions: [Errno 111] Connect call failed ('::1', 4002, 0, 0), [Errno 111] Connect call failed ('127.0.0.1', 4002)
2024-12-11 13:08:54.690 | CRITICAL | 1 | __main__:handle_event:122 - ignoring socket err and continue..
